GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	TAXON ID	ASSIGNED BY	GO ASPECT
UniProtKB	A0A024R0I2	A0A024R0I2	GO:0000711	meiotic DNA repair synthesis	9606	Ensembl	P
UniProtKB	A0A024R0I2	A0A024R0I2	GO:0007129	homologous chromosome pairing at meiosis	9606	Ensembl	P
UniProtKB	A0A024R0I2	A0A024R0I2	GO:0007130	synaptonemal complex assembly	9606	UniProt	P
UniProtKB	A0A024R0I2	A0A024R0I2	GO:0007131	reciprocal meiotic recombination	9606	Ensembl	P
UniProtKB	A0A024R0I2	A0A024R0I2	GO:0051026	chiasma assembly	9606	Ensembl	P
UniProtKB	A0A024R0I2	A0A024R0I2	GO:0051878	lateral element assembly	9606	Ensembl	P
UniProtKB	A0A024R0Y4	TADA2A	GO:0000278	mitotic cell cycle	9606	Ensembl	P
UniProtKB	A0A024R688	MNAT1	GO:0000082	G1/S transition of mitotic cell cycle	9606	Ensembl	P
UniProtKB	A0A024RCM1	A0A024RCM1	GO:0007127	meiosis I	9606	UniProt	P
UniProtKB	A0A024RCN9	A0A024RCN9	GO:0007130	synaptonemal complex assembly	9606	Ensembl	P
UniProtKB	A0A024RCV8	MSH5-SAPCD1	GO:0007127	meiosis I	9606	UniProt	P
UniProtKB	A0A075B6H4	KAT14	GO:0000086	G2/M transition of mitotic cell cycle	9606	Ensembl	P
UniProtKB	A0A075B7D2	BABAM2	GO:0007095	mitotic G2 DNA damage checkpoint signaling	9606	UniProt	P
UniProtKB	A0A087WTH3	KIZ	GO:0007051	spindle organization	9606	InterPro	P
UniProtKB	A0A087WUE2	TACC3	GO:0007052	mitotic spindle organization	9606	InterPro	P
UniProtKB	A0A087WW88	CHMP2B	GO:0007080	mitotic metaphase chromosome alignment	9606	UniProt	P
UniProtKB	A0A087WW88	CHMP2B	GO:0061952	midbody abscission	9606	UniProt	P
UniProtKB	A0A087WX12	KIZ	GO:0007051	spindle organization	9606	InterPro	P
UniProtKB	A0A087WXM9	MEIKIN	GO:0007059	chromosome segregation	9606	UniProt	P
UniProtKB	A0A087WXM9	MEIKIN	GO:0007060	male meiosis chromosome segregation	9606	UniProt	P
UniProtKB	A0A087WXM9	MEIKIN	GO:0007060	male meiosis chromosome segregation	9606	GO_Central	P
UniProtKB	A0A087WXM9	MEIKIN	GO:0007060	male meiosis chromosome segregation	9606	Ensembl	P
UniProtKB	A0A087WXM9	MEIKIN	GO:0010789	meiotic sister chromatid cohesion involved in meiosis I	9606	UniProt	P
UniProtKB	A0A087WXM9	MEIKIN	GO:0010789	meiotic sister chromatid cohesion involved in meiosis I	9606	GO_Central	P
UniProtKB	A0A087WXM9	MEIKIN	GO:0010789	meiotic sister chromatid cohesion involved in meiosis I	9606	Ensembl	P
UniProtKB	A0A087WXM9	MEIKIN	GO:0016321	female meiosis chromosome segregation	9606	UniProt	P
UniProtKB	A0A087WXM9	MEIKIN	GO:0016321	female meiosis chromosome segregation	9606	GO_Central	P
UniProtKB	A0A087WXM9	MEIKIN	GO:0016321	female meiosis chromosome segregation	9606	Ensembl	P
UniProtKB	A0A087WXM9	MEIKIN	GO:0045143	homologous chromosome segregation	9606	UniProt	P
UniProtKB	A0A087WXM9	MEIKIN	GO:0045143	homologous chromosome segregation	9606	GO_Central	P
UniProtKB	A0A087WXM9	MEIKIN	GO:0045143	homologous chromosome segregation	9606	Ensembl	P
UniProtKB	A0A087WXM9	MEIKIN	GO:0051321	meiotic cell cycle	9606	UniProt	P
UniProtKB	A0A087WXM9	MEIKIN	GO:0051754	meiotic sister chromatid cohesion, centromeric	9606	UniProt	P
UniProtKB	A0A087WXM9	MEIKIN	GO:0051754	meiotic sister chromatid cohesion, centromeric	9606	GO_Central	P
UniProtKB	A0A087WXM9	MEIKIN	GO:0051754	meiotic sister chromatid cohesion, centromeric	9606	UniProt	P
UniProtKB	A0A087WZC3	SYCP1	GO:0007130	synaptonemal complex assembly	9606	InterPro	P
UniProtKB	A0A087X032	KIZ	GO:0007051	spindle organization	9606	InterPro	P
UniProtKB	A0A087X0T6	KIZ	GO:0007051	spindle organization	9606	InterPro	P
UniProtKB	A0A087X1V5	NBN	GO:0007095	mitotic G2 DNA damage checkpoint signaling	9606	InterPro	P
UniProtKB	A0A087X251	KIZ	GO:0007051	spindle organization	9606	InterPro	P
UniProtKB	A0A090N8E9	EZH2	GO:0000082	G1/S transition of mitotic cell cycle	9606	Ensembl	P
UniProtKB	A0A090N8E9	EZH2	GO:0070314	G1 to G0 transition	9606	Ensembl	P
UniProtKB	A0A0A0MQR2	RTF2	GO:1902979	mitotic DNA replication termination	9606	InterPro	P
UniProtKB	A0A0A0MR42	CEP192	GO:0051298	centrosome duplication	9606	InterPro	P
UniProtKB	A0A0A0MRK5	CENPW	GO:0000278	mitotic cell cycle	9606	InterPro	P
UniProtKB	A0A0A0MRV8	DCTN3	GO:0061640	cytoskeleton-dependent cytokinesis	9606	InterPro	P
UniProtKB	A0A0A1EMC4	A0A0A1EMC4	GO:0051321	meiotic cell cycle	9606	UniProt	P
UniProtKB	A0A0B4J1R9	SYCE1	GO:0007130	synaptonemal complex assembly	9606	InterPro	P
UniProtKB	A0A0B4J1R9	SYCE1	GO:0051321	meiotic cell cycle	9606	UniProt	P
UniProtKB	A0A0B4J1S3	BIRC5	GO:0007059	chromosome segregation	9606	UniProt	P
UniProtKB	A0A0B4J1S3	BIRC5	GO:0007127	meiosis I	9606	Ensembl	P
UniProtKB	A0A0C4DG07	NBN	GO:0007095	mitotic G2 DNA damage checkpoint signaling	9606	InterPro	P
UniProtKB	A0A0C4DG07	NBN	GO:0051321	meiotic cell cycle	9606	UniProt	P
UniProtKB	A0A0C4DG71	SDCCAG8	GO:0007098	centrosome cycle	9606	InterPro	P
UniProtKB	A0A0C4DG83	MAP9	GO:0000281	mitotic cytokinesis	9606	InterPro	P
UniProtKB	A0A0C4DG83	MAP9	GO:0051225	spindle assembly	9606	InterPro	P
UniProtKB	A0A0C4DGD3	TACC1	GO:0007052	mitotic spindle organization	9606	InterPro	P
UniProtKB	A0A0C4DGD5	TACC1	GO:0007052	mitotic spindle organization	9606	InterPro	P
UniProtKB	A0A0D9SFF0	FOXM1	GO:0000086	G2/M transition of mitotic cell cycle	9606	InterPro	P
UniProtKB	A0A0G2JHB4	MSH5	GO:0007127	meiosis I	9606	UniProt	P
UniProtKB	A0A0G2JJ70	MSH5-SAPCD1	GO:0007127	meiosis I	9606	UniProt	P
UniProtKB	A0A0G2JK42	MSH5	GO:0007127	meiosis I	9606	UniProt	P
UniProtKB	A0A0G2JK88	MSH5	GO:0007127	meiosis I	9606	UniProt	P
